,YEAR,MONTH,DAY,SEASON,TEMP,DEWP,SLP,STP,VISIB,WDSP,MXSPD,GUST,MAX,MIN,PRCP,SNDP
47,2000,2,17,0,48.2,30.5,1027.4,999.9,9.9,7.1,15.9,0.0,68.0,39.0,0.0,0.0
48,2000,2,18,0,37.5,28.5,1027.8,999.9,5.7,5.9,13.0,0.0,54.0,32.0,0.44,0.0
49,2000,2,19,0,56.4,50.0,1015.2,999.9,7.5,9.4,15.0,21.0,68.0,32.0,0.02,0.0
50,2000,2,20,0,44.0,28.5,1024.3,999.9,9.9,5.3,13.0,15.9,68.0,30.9,0.01,0.0
51,2000,2,21,0,39.0,25.2,1030.5,999.9,9.9,2.3,8.0,0.0,52.0,27.0,0.0,0.0
52,2000,2,22,0,39.9,28.0,1033.2,999.9,8.9,1.1,8.0,0.0,57.0,27.0,0.0,0.0
53,2000,2,23,0,46.8,34.8,1032.8,999.9,9.4,2.6,8.0,0.0,66.0,27.0,0.0,0.0
54,2000,2,24,0,55.5,46.7,1029.0,999.9,8.3,4.7,12.0,0.0,71.1,30.0,0.0,0.0
55,2000,2,25,0,61.1,49.2,1025.2,999.9,9.4,6.0,8.9,0.0,78.1,41.0,0.0,0.0
56,2000,2,26,0,63.1,50.8,1025.9,999.9,8.7,5.0,13.0,16.9,78.1,50.0,0.0,0.0
57,2000,2,27,0,62.6,54.8,1023.8,999.9,9.8,8.0,17.1,21.0,75.9,50.0,0.0,0.0
58,2000,2,28,0,55.8,40.8,1020.9,999.9,9.2,6.1,10.1,14.0,72.0,48.0,0.72,0.0
59,2000,2,29,0,48.2,26.1,1025.2,999.9,9.9,1.1,6.0,0.0,64.9,30.0,0.0,0.0
60,2000,3,1,0,52.5,38.1,1019.2,999.9,9.9,5.8,21.0,26.0,73.0,30.0,0.02,0.0
61,2000,3,2,0,55.4,38.3,1012.4,999.9,9.4,5.2,13.0,18.1,73.0,37.0,0.0,0.0
62,2000,3,3,0,48.3,24.4,1015.4,999.9,9.9,3.2,7.0,0.0,62.1,33.1,0.0,0.0
63,2000,3,4,0,47.4,31.9,1011.2,999.9,9.9,3.3,8.9,0.0,61.0,33.1,0.0,0.0
64,2000,3,5,0,47.3,33.5,1013.4,999.9,9.2,2.9,10.1,0.0,68.0,30.2,0.0,0.0
65,2000,3,6,0,53.6,36.3,1019.2,999.9,9.9,1.8,8.9,0.0,71.1,30.0,0.0,0.0
66,2000,3,7,0,57.1,38.8,1024.4,999.9,9.9,4.3,10.1,0.0,73.9,36.0,0.0,0.0
67,2000,3,8,0,64.2,45.4,1019.1,999.9,9.9,5.9,12.0,14.0,84.0,44.1,0.0,0.0
68,2000,3,9,0,66.2,50.0,1014.0,999.9,9.9,9.3,15.9,0.0,84.0,48.0,0.03,0.0
69,2000,3,10,0,68.3,53.0,1014.8,999.9,9.5,5.9,13.0,0.0,79.0,51.1,0.0,0.0
70,2000,3,11,0,68.2,53.8,1013.8,999.9,9.7,10.1,22.0,28.9,81.0,52.0,0.0,0.0
71,2000,3,12,0,56.0,43.3,1010.0,999.9,9.7,11.2,17.1,25.1,81.0,44.1,0.12,0.0
72,2000,3,13,0,40.2,21.0,1025.7,999.9,9.9,4.6,8.9,15.9,60.1,28.0,0.0,0.0
73,2000,3,14,0,44.1,29.3,1027.0,999.9,9.9,1.7,8.9,0.0,63.0,28.0,0.0,0.0
74,2000,3,15,0,53.4,35.1,1025.8,999.9,9.9,2.9,7.0,0.0,70.0,28.0,0.0,0.0
75,2000,3,16,0,57.6,49.1,1021.0,999.9,9.3,4.0,11.1,14.0,70.0,37.9,0.0,0.0
76,2000,3,17,0,63.2,53.5,1013.0,999.9,9.8,10.6,15.0,26.0,66.9,46.9,0.41,0.0
77,2000,3,18,0,40.8,19.8,1030.9,999.9,9.9,8.6,12.0,19.0,50.0,32.0,0.01,0.0
78,2000,3,19,0,43.5,34.4,1029.5,999.9,9.9,7.3,12.0,15.9,59.0,30.0,0.0,0.0
79,2000,3,20,1,50.9,46.4,1021.1,999.9,8.0,11.3,15.0,23.9,59.0,32.0,0.0,0.0
80,2000,3,21,1,48.6,46.2,1020.8,999.9,7.6,8.0,15.0,21.0,53.6,44.1,0.68,0.0
81,2000,3,22,1,46.9,41.2,1024.2,999.9,10.0,7.7,14.0,20.0,55.0,41.0,0.01,0.0
82,2000,3,23,1,51.2,44.4,1025.9,999.9,9.4,9.2,15.9,25.1,63.0,41.0,0.0,0.0
83,2000,3,24,1,52.8,44.4,1023.1,999.9,9.2,2.8,7.0,0.0,70.0,37.0,0.0,0.0
84,2000,3,25,1,60.6,49.1,1018.7,999.9,8.9,6.5,14.0,0.0,77.0,37.0,0.0,0.0
85,2000,3,26,1,64.2,45.5,1011.7,999.9,8.7,6.7,11.1,16.9,77.0,46.9,0.06,0.0
86,2000,3,27,1,55.0,47.8,1004.3,999.9,9.0,4.7,15.0,22.0,73.0,39.9,0.0,0.0
87,2000,3,28,1,55.7,45.3,996.2,999.9,8.5,7.8,20.0,28.9,70.0,39.9,0.44,0.0
88,2000,3,29,1,52.4,28.5,1008.7,999.9,9.9,6.6,11.1,16.9,70.0,41.0,0.0,0.0
89,2000,3,30,1,51.2,44.6,1014.2,999.9,9.5,3.1,8.9,0.0,62.1,41.0,0.04,0.0
90,2000,3,31,1,52.6,41.9,1017.1,999.9,9.2,4.5,14.0,20.0,66.0,39.9,0.03,0.0
91,2000,4,1,1,53.4,41.8,1023.6,999.9,9.1,3.3,8.0,0.0,70.0,39.0,0.0,0.0
92,2000,4,2,1,59.2,48.5,1021.9,999.9,9.8,7.9,12.0,15.0,70.0,39.0,0.0,0.0
93,2000,4,3,1,67.5,61.7,1015.6,999.9,9.8,10.2,17.1,23.9,81.0,52.0,0.01,0.0
94,2000,4,4,1,65.2,57.7,1006.4,999.9,9.9,14.6,20.0,34.0,73.9,53.6,0.05,0.0
95,2000,4,5,1,48.0,26.1,1015.2,999.9,10.0,7.0,12.0,25.1,68.0,32.0,0.05,0.0
96,2000,4,6,1,57.9,37.2,1013.7,999.9,9.9,11.4,21.0,22.9,79.0,32.0,0.0,0.0
97,2000,4,7,1,67.6,51.0,1013.8,999.9,9.9,7.6,17.1,22.0,82.9,43.0,0.0,0.0
98,2000,4,8,1,64.6,51.7,1008.4,999.9,9.0,14.0,28.0,39.0,75.9,42.8,0.0,0.0
99,2000,4,9,1,46.4,27.3,1015.0,999.9,9.8,11.0,15.0,25.1,59.0,37.9,0.67,0.0
100,2000,4,10,1,54.2,35.9,1022.2,999.9,9.9,6.4,15.0,15.9,73.0,37.9,0.0,0.0
101,2000,4,11,1,63.8,45.9,1023.5,999.9,9.9,10.8,22.0,28.0,75.9,55.0,0.0,0.0
102,2000,4,12,1,67.3,55.1,1021.7,999.9,9.9,7.9,15.0,19.0,75.9,54.0,0.0,0.0
103,2000,4,13,1,48.2,39.6,1029.1,999.9,7.7,10.8,18.1,22.9,69.1,39.2,0.01,0.0
104,2000,4,14,1,45.1,45.0,1026.2,999.9,3.9,7.5,11.1,15.0,55.0,39.9,0.38,0.0
105,2000,4,15,1,57.3,57.3,1018.7,999.9,3.4,5.5,8.9,0.0,64.0,41.0,0.37,0.0
106,2000,4,16,1,65.2,61.8,1016.1,999.9,7.0,3.0,8.0,0.0,77.0,54.0,0.14,0.0
107,2000,4,17,1,68.0,61.3,1012.4,999.9,8.9,4.5,18.1,29.9,80.1,57.9,0.01,0.0
108,2000,4,18,1,54.6,52.7,1008.7,999.9,8.9,8.4,14.0,25.1,72.0,46.4,0.66,0.0
109,2000,4,19,1,54.3,47.4,1014.7,999.9,9.8,9.0,12.0,20.0,71.1,46.0,0.09,0.0
110,2000,4,20,1,60.4,53.9,1017.6,999.9,8.7,4.6,12.0,15.9,73.9,46.0,0.0,0.0
111,2000,4,21,1,67.8,57.7,1005.8,999.9,10.0,12.0,19.0,23.9,79.0,46.9,0.0,0.0
112,2000,4,22,1,56.3,41.9,1004.5,999.9,9.9,6.5,10.1,15.9,79.0,45.0,0.0,0.0
113,2000,4,23,1,55.6,44.2,1009.2,999.9,9.9,3.5,10.1,14.0,70.0,39.9,0.0,0.0
114,2000,4,24,1,56.5,48.7,1011.6,999.9,9.4,4.0,8.0,0.0,70.0,39.9,0.0,0.0
115,2000,4,25,1,53.1,52.8,1006.1,999.9,4.6,9.8,15.0,20.0,68.0,44.1,0.18,0.0
116,2000,4,26,1,49.7,44.5,1015.4,999.9,9.0,2.4,8.9,0.0,61.0,37.0,0.15,0.0
117,2000,4,27,1,53.9,48.6,1015.1,999.9,7.8,5.3,10.1,0.0,64.9,37.0,0.32,0.0
118,2000,4,28,1,53.8,52.0,1010.8,999.9,4.3,6.0,13.0,19.0,64.9,48.9,0.15,0.0
119,2000,4,29,1,54.7,48.5,1013.9,999.9,7.7,3.8,11.1,15.0,70.0,43.0,0.52,0.0
120,2000,4,30,1,57.0,45.8,1019.6,999.9,5.8,2.6,8.0,0.0,75.0,42.1,0.98,0.0
121,2000,5,1,1,62.6,49.1,1020.0,999.9,9.7,6.6,18.1,22.9,80.1,42.1,0.0,0.0
122,2000,5,2,1,67.0,55.7,1016.0,999.9,9.7,9.6,15.9,21.0,80.1,46.9,0.0,0.0
123,2000,5,3,1,65.7,53.3,1022.5,999.9,8.6,5.4,10.1,0.0,77.0,53.1,0.0,0.0
124,2000,5,4,1,64.7,49.4,1025.3,999.9,9.9,4.6,10.1,0.0,80.1,48.0,0.0,0.0
125,2000,5,5,1,67.3,54.8,1024.3,999.9,9.8,5.1,10.1,0.0,82.0,48.0,0.0,0.0
126,2000,5,6,1,69.8,58.3,1021.3,999.9,9.9,3.5,7.0,0.0,87.1,51.1,0.0,0.0
127,2000,5,7,1,72.7,58.9,1018.9,999.9,9.4,4.7,13.0,0.0,87.1,55.0,0.0,0.0
128,2000,5,8,1,73.6,59.8,1016.2,999.9,9.9,8.4,18.1,22.0,87.1,59.0,0.0,0.0
129,2000,5,9,1,74.1,60.3,1013.1,999.9,9.9,10.8,18.1,23.9,87.1,61.0,0.0,0.0
130,2000,5,10,1,75.9,61.7,1009.4,999.9,9.9,11.5,19.0,28.0,87.1,63.0,0.0,0.0
131,2000,5,11,1,69.1,45.9,1013.8,999.9,9.9,3.4,8.0,16.9,87.1,48.0,0.0,0.0
132,2000,5,12,1,73.0,61.1,1012.8,999.9,9.4,6.6,13.0,15.9,91.0,48.0,0.0,0.0
133,2000,5,13,1,78.9,66.2,1008.9,999.9,9.0,6.6,13.0,15.9,93.0,60.1,0.0,0.0
134,2000,5,14,1,74.0,56.8,1014.5,999.9,9.9,4.3,8.9,0.0,93.0,64.0,0.0,0.0
135,2000,5,15,1,63.6,41.3,1020.0,999.9,9.9,5.1,13.0,0.0,82.0,54.0,0.0,0.0
136,2000,5,16,1,60.9,43.5,1021.4,999.9,9.9,2.6,11.1,15.0,78.1,45.0,0.0,0.0
137,2000,5,17,1,67.3,54.8,1020.4,999.9,9.9,7.1,14.0,22.0,81.0,45.0,0.0,0.0
138,2000,5,18,1,75.1,62.6,1021.2,999.9,9.7,12.3,19.0,25.1,87.1,57.9,0.0,0.0
139,2000,5,19,1,78.6,62.2,1017.4,999.9,9.9,10.1,15.0,0.0,91.9,64.9,0.0,0.0
140,2000,5,20,1,79.0,64.5,1014.4,999.9,9.3,4.6,8.9,15.9,93.0,66.0,0.0,0.0
141,2000,5,21,1,69.6,66.3,1014.7,999.9,7.0,4.8,15.0,26.0,93.0,64.9,0.11,0.0
142,2000,5,22,1,71.5,64.8,1010.4,999.9,6.0,6.5,13.0,16.9,82.9,64.9,0.49,0.0
143,2000,5,23,1,67.7,57.5,1009.6,999.9,7.7,3.6,11.1,15.0,82.9,54.0,0.06,0.0
144,2000,5,24,1,76.2,64.3,1005.1,999.9,9.6,7.5,15.0,20.0,89.1,54.0,0.0,0.0
145,2000,5,25,1,74.9,68.0,1006.6,999.9,8.6,6.4,19.0,28.0,89.1,64.0,0.0,0.0
146,2000,5,26,1,71.3,54.6,1013.5,999.9,9.9,2.7,8.9,0.0,84.0,55.0,0.05,0.0
147,2000,5,27,1,72.3,62.3,1014.5,999.9,9.6,4.4,13.0,16.9,90.0,55.0,0.0,0.0
148,2000,5,28,1,72.6,66.9,1008.7,999.9,8.5,4.5,11.1,0.0,90.0,55.9,0.0,0.0
149,2000,5,29,1,62.2,58.6,1009.7,999.9,9.7,6.4,15.9,35.0,75.9,55.4,0.17,0.0
150,2000,5,30,1,56.6,48.6,1019.4,999.9,10.0,8.3,13.0,18.1,66.2,50.0,0.0,0.0
151,2000,5,31,1,62.4,52.5,1022.4,999.9,10.0,4.0,8.0,0.0,80.1,50.0,0.0,0.0
152,2000,6,1,1,72.3,61.1,1020.3,999.9,9.5,2.9,7.0,0.0,90.0,50.0,0.0,0.0
153,2000,6,2,1,80.1,67.6,1017.8,999.9,7.8,2.5,7.0,0.0,98.1,57.9,0.0,0.0
154,2000,6,3,1,78.6,68.6,1015.6,999.9,6.1,4.1,15.0,28.9,98.1,64.9,0.0,0.0
155,2000,6,4,1,68.7,64.2,1017.7,999.9,6.9,5.3,18.1,26.0,75.9,62.6,0.46,0.0
156,2000,6,5,1,67.7,66.0,1015.2,999.9,4.1,4.5,8.0,0.0,75.0,63.0,0.16,0.0
157,2000,6,6,1,70.2,62.0,1011.2,999.9,6.1,7.7,15.0,25.1,78.1,64.9,0.05,0.0
158,2000,6,7,1,64.4,48.0,1020.4,999.9,9.9,6.4,13.0,16.9,78.1,53.1,0.0,0.0
159,2000,6,8,1,66.8,51.8,1023.6,999.9,9.9,4.4,13.0,15.9,82.9,50.0,0.0,0.0
160,2000,6,9,1,73.9,56.7,1021.9,999.9,9.9,5.8,8.9,0.0,91.0,50.0,0.0,0.0
161,2000,6,10,1,77.4,60.7,1021.8,999.9,9.8,7.4,10.1,0.0,93.0,57.9,0.0,0.0
162,2000,6,11,1,78.8,62.8,1021.3,999.9,9.9,7.5,11.1,0.0,93.0,61.0,0.0,0.0
163,2000,6,12,1,79.5,65.6,1020.3,999.9,9.6,6.4,10.1,0.0,92.5,63.0,0.0,0.0
164,2000,6,13,1,83.8,66.7,1018.4,999.9,8.5,6.0,11.1,0.0,99.0,66.9,0.0,0.0
165,2000,6,14,1,80.6,70.1,1018.0,999.9,7.2,6.6,11.1,16.9,93.0,71.6,0.0,0.0
166,2000,6,15,1,77.7,70.7,1016.6,999.9,7.7,6.5,14.0,16.9,98.1,68.0,0.13,0.0
167,2000,6,16,1,79.6,70.5,1016.6,999.9,8.8,9.1,14.0,16.9,91.9,68.0,0.08,0.0
168,2000,6,17,1,82.4,70.9,1019.3,999.9,9.9,10.1,14.0,19.0,91.9,70.0,0.01,0.0
169,2000,6,18,1,81.3,71.8,1020.2,999.9,10.0,9.7,15.0,19.0,93.0,73.9,0.0,0.0
170,2000,6,19,1,78.1,72.4,1019.7,999.9,8.6,5.6,17.1,33.0,93.0,71.6,0.02,0.0
171,2000,6,20,2,72.4,69.6,1020.8,999.9,5.8,4.7,8.9,0.0,78.1,66.2,0.63,0.0
172,2000,6,21,2,77.5,71.1,1018.1,999.9,5.5,5.9,12.0,14.0,88.0,66.9,0.0,0.0
173,2000,6,22,2,81.4,72.8,1013.3,999.9,8.1,8.8,13.0,0.0,91.9,70.0,0.0,0.0
174,2000,6,23,2,78.3,65.2,1015.3,999.9,9.0,4.3,8.9,0.0,91.0,64.9,0.0,0.0
175,2000,6,24,2,80.7,67.4,1018.3,999.9,9.1,4.1,10.1,0.0,93.0,64.0,0.0,0.0
176,2000,6,25,2,81.3,70.4,1017.9,999.9,9.2,7.3,13.0,16.9,93.0,69.1,0.0,0.0
177,2000,6,26,2,82.4,70.3,1017.5,999.9,8.8,9.5,13.0,19.0,92.7,71.1,0.0,0.0
178,2000,6,27,2,80.3,67.7,1018.2,999.9,9.6,11.0,17.1,20.0,93.0,71.1,0.0,0.0
179,2000,6,28,2,77.3,71.1,1016.9,999.9,8.7,7.3,20.0,25.1,91.9,71.1,0.27,0.0
180,2000,6,29,2,73.7,71.2,1012.3,999.9,7.9,5.6,11.1,15.0,80.6,71.6,0.64,0.0
181,2000,6,30,2,72.1,60.2,1014.1,999.9,7.0,3.3,8.9,0.0,82.9,61.0,0.05,0.0
182,2000,7,1,2,71.9,60.4,1016.9,999.9,9.2,1.9,8.9,0.0,84.9,60.1,0.0,0.0
183,2000,7,2,2,72.8,60.6,1018.8,999.9,8.2,2.4,8.0,0.0,90.0,57.0,0.0,0.0
184,2000,7,3,2,79.3,65.0,1019.3,999.9,9.1,9.0,15.0,20.0,91.0,57.0,0.0,0.0
185,2000,7,4,2,80.9,66.3,1017.0,999.9,9.2,9.0,14.0,0.0,93.0,68.0,0.0,0.0
186,2000,7,5,2,79.6,71.7,1013.1,999.9,6.6,5.7,10.1,0.0,93.0,70.0,0.0,0.0
187,2000,7,6,2,79.5,72.1,1010.7,999.9,7.3,4.8,10.1,0.0,91.9,70.0,0.14,0.0
188,2000,7,7,2,75.9,66.9,1013.7,999.9,6.8,4.9,13.0,0.0,89.1,69.1,0.0,0.0
189,2000,7,8,2,75.2,62.4,1020.6,999.9,9.3,4.3,7.0,0.0,87.1,66.0,0.0,0.0
190,2000,7,9,2,79.7,67.9,1018.6,999.9,8.6,8.0,13.0,16.9,93.7,66.0,0.0,0.0
191,2000,7,10,2,84.0,69.4,1014.2,999.9,7.4,10.2,14.0,20.0,97.0,70.0,0.0,0.0
192,2000,7,11,2,83.7,70.3,1011.4,999.9,7.0,4.8,10.1,0.0,97.0,72.0,0.0,0.0
193,2000,7,12,2,76.0,68.3,1014.1,999.9,8.8,6.6,11.1,0.0,95.0,71.1,0.08,0.0
194,2000,7,13,2,71.8,64.8,1016.1,999.9,8.4,3.4,6.0,0.0,81.0,66.9,0.01,0.0
195,2000,7,14,2,76.4,69.0,1012.8,999.9,7.2,3.2,11.1,15.0,88.0,66.9,0.27,0.0
196,2000,7,15,2,77.2,67.9,1006.2,999.9,8.4,5.1,21.0,32.1,88.0,66.0,0.69,0.0
197,2000,7,16,2,74.7,66.1,1008.0,999.9,7.8,2.4,8.9,0.0,90.0,64.0,0.01,0.0
198,2000,7,17,2,75.9,64.8,1012.9,999.9,9.5,4.3,8.0,0.0,90.0,63.0,0.01,0.0
199,2000,7,18,2,78.3,66.2,1015.8,999.9,7.5,3.2,8.0,0.0,93.2,64.9,0.0,0.0
200,2000,7,19,2,82.4,70.5,1013.7,999.9,6.6,6.9,17.1,22.0,95.0,64.0,0.0,0.0
201,2000,7,20,2,76.7,67.9,1011.5,999.9,8.7,7.7,11.7,27.2,95.0,66.0,0.0,0.0
202,2000,7,21,2,72.0,67.5,1013.5,999.9,6.6,2.2,9.7,0.0,80.1,64.4,0.0,0.0
203,2000,7,22,2,72.8,68.4,1015.0,999.9,4.3,3.6,8.9,14.0,82.0,64.0,0.25,0.0
204,2000,7,23,2,73.5,69.0,1017.3,999.9,4.6,5.2,10.1,0.0,82.0,64.0,0.0,0.0
205,2000,7,24,2,70.5,67.7,1016.6,999.9,7.0,7.6,15.0,19.0,77.0,66.2,2.72,0.0
206,2000,7,25,2,66.0,63.7,1019.3,999.9,7.0,7.9,11.1,14.0,77.0,64.0,0.01,0.0
207,2000,7,26,2,69.7,67.3,1019.5,999.9,6.0,4.7,8.0,0.0,77.0,66.2,0.22,0.0
208,2000,7,27,2,74.4,67.9,1019.5,999.9,7.6,1.4,5.1,0.0,88.0,66.0,0.01,0.0
209,2000,7,28,2,78.0,68.4,1017.2,999.9,8.4,2.3,8.0,0.0,90.0,66.0,0.0,0.0
210,2000,7,29,2,75.1,69.3,1017.1,999.9,7.1,4.3,18.1,28.0,90.0,66.0,0.77,0.0
211,2000,7,30,2,76.9,71.0,1017.7,999.9,8.4,4.5,8.0,0.0,90.0,66.0,0.69,0.0
212,2000,7,31,2,77.4,73.7,1018.2,999.9,7.6,5.5,11.1,0.0,90.0,71.1,0.14,0.0
213,2000,8,1,2,75.8,72.0,1019.4,999.9,8.8,5.6,14.0,23.9,86.0,69.8,0.3,0.0
214,2000,8,2,2,77.0,71.8,1018.8,999.9,8.9,5.0,13.0,21.0,88.0,70.0,2.28,0.0
215,2000,8,3,2,77.4,72.3,1018.2,999.9,8.6,6.1,12.0,18.1,87.1,70.0,0.1,0.0
216,2000,8,4,2,76.3,72.4,1017.9,999.9,7.0,7.1,13.0,15.0,86.0,70.0,0.58,0.0
217,2000,8,5,2,74.0,69.3,1016.7,999.9,5.2,2.5,8.0,0.0,86.0,68.0,0.43,0.0
218,2000,8,6,2,79.0,71.6,1017.7,999.9,5.6,5.5,12.0,0.0,90.0,68.0,0.32,0.0
219,2000,8,7,2,83.1,74.6,1018.3,999.9,5.9,8.4,13.0,15.0,93.9,70.0,0.0,0.0
220,2000,8,8,2,83.6,73.6,1017.9,999.9,7.3,5.6,8.9,0.0,93.9,73.9,0.0,0.0
221,2000,8,9,2,83.2,74.5,1016.8,999.9,7.1,3.4,8.0,0.0,93.9,73.9,0.0,0.0
222,2000,8,10,2,79.9,70.3,1015.0,999.9,9.2,6.2,13.0,28.0,95.0,68.0,0.26,0.0
223,2000,8,11,2,78.2,70.8,1013.0,999.9,7.5,1.9,5.1,0.0,90.0,68.0,0.0,0.0
224,2000,8,12,2,75.0,65.1,1012.4,999.9,8.0,5.1,10.1,15.0,90.0,64.9,0.0,0.0
225,2000,8,13,2,67.9,61.4,1013.5,999.9,9.7,3.4,8.0,0.0,82.9,61.0,0.0,0.0
226,2000,8,14,2,70.6,61.8,1016.4,999.9,8.7,2.7,8.9,0.0,82.9,59.0,0.02,0.0
227,2000,8,15,2,73.5,63.7,1019.9,999.9,7.0,1.7,7.0,0.0,87.1,59.0,0.0,0.0
228,2000,8,16,2,78.4,68.5,1017.9,999.9,6.6,4.5,11.1,0.0,93.0,61.0,0.01,0.0
229,2000,8,17,2,77.8,64.0,1017.3,999.9,8.0,4.1,12.0,0.0,93.0,64.9,0.0,0.0
